,Name,Email,Address,reaction,Datetime,Sentiment,Score,Content,Category,Device,Duration,state
0,Richard Smith,RS@gmail.com,"00358 Heather Gardens
Lake Heidiview, OH 42464",disgust,2020-11-07 9:43,negative,0,photo,studying,Motorola,88,OH
1,Myrtis Clark,MC@gmail.com,"0574 Elizabeth Road Suite 512
East Candiceville, ND 76242",dislike,2021-06-17 12:22,negative,10,photo,studying,Huawei,11,ND
2,Helen Tuttle,HT@gmail.com,"533 Joseph Isle Suite 449
Wardland, TX 97192",scared,2021-04-18 5:13,negative,15,photo,studying,Motorola,26,TX
3,Racheal Hart,RH@gmail.com,"30254 Gregory Canyon Suite 734
West Sarah, MT 91811",disgust,2021-01-06 19:13,negative,0,photo,studying,Microsoft,96,MT
4,Donna Valdovinos,DV@gmail.com,"0090 Adams Viaduct
New Benjamin, VT 75869",interested,2020-08-23 12:25,positive,30,photo,studying,HTC,19,VT
5,Lesley Franich,LF@gmail.com,"655 Jessica Valleys Apt. 029
Wilsonmouth, OH 61668",peeking,2020-12-07 6:27,neutral,35,photo,studying,Apple,79,OH
6,Dayna Walton,DW@gmail.com,"1794 Robertson Loaf Suite 046
New Craigshire, GA 17333",cherish,2021-04-11 17:35,positive,70,photo,studying,Motorola,35,GA
7,Anthony Keil,AK@gmail.com,"6520 Mary Bridge Suite 490
North Juliashire, UT 32383",hate,2021-01-27 8:32,negative,5,photo,studying,HTC,31,UT
8,Louise Laramore,LL@gmail.com,"209 Christina Valleys
West Jason, OK 13984",peeking,2021-04-01 22:54,neutral,35,photo,studying,Motorola,42,OK
9,Andrea Fay,AF@gmail.com,"4006 Joyce Field
South Blake, WV 44974",indifferent,2020-11-07 8:36,neutral,20,photo,studying,Huawei,58,WV
10,Deborah Hamm,DH@gmail.com,"5130 Christine Parks
West Jaredstad, NE 51136",scared,2020-11-02 6:28,negative,15,photo,studying,Samsung,49,NE
11,Judy Cobbley,JC@gmail.com,"19989 Gina Burgs Suite 207
Johnsonmouth, NV 87900",interested,2020-11-01 1:16,positive,30,photo,studying,Samsung,44,NV
12,Marc Reed,MR@gmail.com,"359 Deanna Vista Apt. 925
Tommyborough, TN 75663",hate,2020-10-07 18:39,negative,5,photo,studying,Samsung,6,TN
13,Candice Dickerson,CD@gmail.com,"617 Douglas Turnpike
East Rebeccashire, WI 48819",scared,2020-09-03 18:51,negative,15,photo,studying,Apple,74,WI
14,Anthony Dunkerson,AD@gmail.com,"73298 Osborne Mountain
Tuckerfort, WV 57942",super love,2021-02-24 5:09,positive,75,photo,studying,Huawei,56,WV
15,Benita Brady,BB@gmail.com,"473 Ronald Manor
East Olivia, ME 99898",peeking,2020-09-23 6:24,neutral,35,photo,studying,Apple,66,ME
16,Shirley Peredo,SP@gmail.com,"526 Kimberly Center Suite 341
New Lisa, CO 12768",indifferent,2021-02-24 11:37,neutral,20,photo,studying,HTC,60,CO
17,Richard Smith,RS@gmail.com,"00358 Heather Gardens
Lake Heidiview, OH 42464",interested,2021-05-22 19:44,positive,30,photo,studying,Motorola,88,OH
18,Oscar Gilman,OG@gmail.com,"2846 Jones Field
Leeberg, ME 29721",peeking,2020-11-20 17:26,neutral,35,photo,studying,Motorola,67,ME
19,Jeffery Pedrick,JP@gmail.com,"9993 Marks Shoals
South Ronaldstad, NV 15604",worried,2021-04-11 20:47,negative,12,photo,studying,Google,38,NV
20,Sarah Lococo,SL@gmail.com,"38904 Nguyen Lock Suite 118
Lake Robert, CA 25680",like,2021-06-13 16:46,positive,50,photo,studying,Huawei,74,CA
21,Tara Cruz,TC@gmail.com,"5003 Potter Alley
Lake Meredith, NH 92634",heart,2021-04-11 14:29,positive,60,photo,studying,Google,68,NH
22,Angela Ivie,AI@gmail.com,"668 Collins Drive
Aprilfort, ND 24342",worried,2021-03-02 19:21,negative,12,photo,studying,Motorola,16,ND
23,Katherine Riffle,KR@gmail.com,"305 Gutierrez Forks
Mayborough, FL 20709",hate,2020-06-27 18:44,negative,5,photo,studying,Motorola,88,FL
24,Jeanie Kirn,JK@gmail.com,"644 Emily Burgs
South Paulstad, TX 93774",hate,2021-05-09 21:05,negative,5,photo,studying,Motorola,40,TX
25,Gilbert Faire,GF@gmail.com,"8905 Taylor Squares
Mahoneyview, OK 75053",cherish,2020-08-04 23:58,positive,70,photo,studying,HTC,15,OK
26,Benjamin Peltier,BP@gmail.com,"25502 Amy Square Apt. 092
Thompsonville, NM 47897",super love,2020-08-28 3:57,positive,75,photo,studying,HTC,27,NM
27,Jeffery Zerbe,JZ@gmail.com,"41287 Miller Isle
Tylermouth, VT 38540",scared,2021-04-20 23:48,negative,15,photo,studying,Motorola,99,VT
28,Dwight Jefferson,DJ@gmail.com,"70091 Davis Spurs
New Georgeborough, TX 29949",interested,2021-03-07 12:40,positive,30,photo,studying,Motorola,86,TX
29,Helen Tuttle,HT@gmail.com,"533 Joseph Isle Suite 449
Wardland, TX 97192",indifferent,2021-05-24 3:21,neutral,20,photo,studying,Motorola,26,TX
30,Orlando Sapp,OS@gmail.com,"276 Abigail Club Suite 257
Rogershaven, TX 09776",super love,2021-01-24 11:03,positive,75,photo,studying,Motorola,3,TX
31,Rebecca Swanner,RS@gmail.com,"663 Golden Loaf
Heidistad, CO 16965",disgust,2021-04-09 2:46,negative,0,photo,studying,Microsoft,3,CO
32,Darlene Kovacs,DK@gmail.com,"783 Rios Stream
Bryantville, DE 43460",super love,2021-02-02 3:43,positive,75,photo,studying,Motorola,45,DE
33,Edwin Raley,ER@gmail.com,"8817 Peters Mountain
Patrickberg, NH 71632",interested,2021-02-04 3:06,positive,30,photo,studying,HTC,69,NH
34,Daryl Owens,DO@gmail.com,"022 Allison Branch
South John, IA 33036",dislike,2020-11-09 2:49,negative,10,photo,studying,Microsoft,11,IA
35,John Rancourt,JR@gmail.com,"140 Smith Forges
South Heatherbury, NC 69055",scared,2020-09-29 16:00,negative,15,photo,studying,Google,96,NC
36,Elisabeth Stewart,ES@gmail.com,"1480 Wong Bridge Suite 863
West Hunterburgh, MS 92171",want,2021-02-13 7:54,positive,70,photo,studying,HTC,0,MS
37,Benjamin Baker,BB@gmail.com,"12492 Harris Underpass Apt. 319
Larryfurt, OH 30726",interested,2020-07-14 5:28,positive,30,photo,studying,Huawei,73,OH
38,Brett Sandidge,BS@gmail.com,"61958 Courtney Branch
Sarastad, VT 69469",indifferent,2020-08-23 10:30,neutral,20,photo,studying,Google,59,VT
39,Oscar Murphy,OM@gmail.com,"60738 Matthew Square
Lake Christine, HI 24434",worried,2021-05-10 9:27,negative,12,photo,studying,Motorola,0,HI
40,Phillip Johnson,PJ@gmail.com,"USS Dawson
FPO AA 46857",hate,2021-03-15 3:59,negative,5,photo,studying,Apple,8,FP
41,Edward Kettler,EK@gmail.com,"088 Smith Via Suite 090
Danielmouth, SC 45333",dislike,2020-06-25 17:01,negative,10,photo,healthy eating,HTC,83,SC
42,Jose Suiter,JS@gmail.com,"41768 Hannah Canyon Apt. 170
North Ann, MN 10765",intrigued,2020-09-13 0:11,positive,45,photo,healthy eating,Samsung,1,MN
43,Megan Keck,MK@gmail.com,"3625 Rebecca Crescent
West Benjamin, CA 88681",peeking,2020-08-20 18:17,neutral,35,photo,healthy eating,Apple,57,CA
44,Racheal Hart,RH@gmail.com,"30254 Gregory Canyon Suite 734
West Sarah, MT 91811",scared,2021-02-11 4:53,negative,15,photo,healthy eating,Microsoft,96,MT
45,Brian Collins,BC@gmail.com,"9200 Gamble Brooks
Davidberg, WI 96602",hate,2021-03-08 10:40,negative,5,photo,healthy eating,Google,11,WI
46,James Phillips,JP@gmail.com,"8389 Torres Street
South Maria, AL 04577",disgust,2021-03-28 21:15,negative,0,photo,healthy eating,Microsoft,3,AL
47,Mari Gonzalez,MG@gmail.com,"210 Jessica Falls Apt. 733
Josephton, DC 18690",hate,2021-05-25 1:00,negative,5,photo,healthy eating,Huawei,41,DC
48,Benjamin Baker,BB@gmail.com,"12492 Harris Underpass Apt. 319
Larryfurt, OH 30726",like,2021-03-15 12:17,positive,50,photo,healthy eating,Huawei,73,OH
49,Benjamin Leon,BL@gmail.com,"610 Austin Avenue
Pricefurt, WV 16492",love,2021-05-05 16:26,positive,65,photo,healthy eating,Microsoft,5,WV
50,Bessie Mcintyre,BM@gmail.com,"48590 Cooper Stream Suite 889
South Sean, NC 71373",heart,2021-06-16 3:02,positive,60,photo,healthy eating,Samsung,90,NC
51,Angela Ivie,AI@gmail.com,"668 Collins Drive
Aprilfort, ND 24342",indifferent,2020-07-07 10:52,neutral,20,photo,healthy eating,Motorola,16,ND
52,Patrick Dahlman,PD@gmail.com,"290 Yates Loaf
Melissaville, AL 10176",peeking,2020-08-20 7:59,neutral,35,photo,healthy eating,Motorola,3,AL
53,Walter Lund,WL@gmail.com,"31352 Alan Vista
New Amyshire, ND 40158",love,2020-09-23 11:15,positive,65,photo,healthy eating,Microsoft,92,ND
54,April Bitner,AB@gmail.com,"9413 Lawrence Terrace Apt. 564
Michaelview, KS 70932",like,2021-03-24 5:56,positive,50,photo,healthy eating,Samsung,70,KS
55,Eva Lollar,EL@gmail.com,"08487 Heather Villages
Roseberg, WV 43804",hate,2020-12-07 19:13,negative,5,photo,healthy eating,Motorola,97,WV
56,Christa Thomas,CT@gmail.com,"6967 Gonzalez Roads Suite 288
Lake Rose, DC 62330",super love,2020-08-03 16:41,positive,75,photo,healthy eating,Motorola,47,DC
57,Matthew Henning,MH@gmail.com,"83443 Briana Crossing
Haleyland, MT 05041",adore,2021-01-10 15:36,positive,72,photo,healthy eating,Huawei,30,MT
58,Gary Hill,GHbnuothhymw,"6208 Wright Mountains
Bryantfurt, AR 02531",scared,2020-09-20 8:48,negative,15,photo,healthy eating,Microsoft,11,AR
59,Michael Tuite,MT@gmail.com,"81554 Martin Isle Suite 028
Ballville, WA 57059",cherish,2020-07-20 14:06,positive,70,photo,healthy eating,Motorola,81,WA
60,Phillip Johnson,PJ@gmail.com,"USS Dawson
FPO AA 46857",adore,2020-10-24 12:15,positive,72,photo,healthy eating,Apple,8,FP
61,Ruth Palmer,RPbrxoephmar,"854 Andrew Tunnel Apt. 147
North Steven, HI 03808",interested,2021-06-06 1:27,positive,30,photo,healthy eating,HTC,54,HI
