MyUnknownColumn,Name,Address,Email,Content_ID,content_type,Category,Device,Duration,Datetime,reaction,Sentiment,Score
1,"Richard Smith","00358 Heather Gardens
Lake Heidiview, OH 42464",RS@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Motorola,88,"2020-11-07 9:43",disgust,negative,0
2,"Myrtis Clark","0574 Elizabeth Road Suite 512
East Candiceville, ND 76242",MC@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Huawei,11,"2021-06-17 12:22",dislike,negative,10
3,"Helen Tuttle","533 Joseph Isle Suite 449
Wardland, TX 97192",HT@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Motorola,26,"2021-04-18 5:13",scared,negative,15
4,"Racheal Hart","30254 Gregory Canyon Suite 734
West Sarah, MT 91811",RH@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Microsoft,96,"2021-01-06 19:13",disgust,negative,0
5,"Donna Valdovinos","0090 Adams Viaduct
New Benjamin, VT 75869",DV@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,HTC,19,"2020-08-23 12:25",interested,positive,30
6,"Lesley Franich","655 Jessica Valleys Apt. 029
Wilsonmouth, OH 61668",LF@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Apple,79,"2020-12-07 6:27",peeking,neutral,35
7,"Dayna Walton","1794 Robertson Loaf Suite 046
New Craigshire, GA 17333",DW@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Motorola,35,"2021-04-11 17:35",cherish,positive,70
8,"Anthony Keil","6520 Mary Bridge Suite 490
North Juliashire, UT 32383",AK@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,HTC,31,"2021-01-27 8:32",hate,negative,5
9,"Louise Laramore","209 Christina Valleys
West Jason, OK 13984",LL@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Motorola,42,"2021-04-01 22:54",peeking,neutral,35
11,"Andrea Fay","4006 Joyce Field
South Blake, WV 44974",AF@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Huawei,58,"2020-11-07 8:36",indifferent,neutral,20
12,"Deborah Hamm","5130 Christine Parks
West Jaredstad, NE 51136",DH@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Samsung,49,"2020-11-02 6:28",scared,negative,15
13,"Judy Cobbley","19989 Gina Burgs Suite 207
Johnsonmouth, NV 87900",JC@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Samsung,44,"2020-11-01 1:16",interested,positive,30
14,"Marc Reed","359 Deanna Vista Apt. 925
Tommyborough, TN 75663",MR@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Samsung,6,"2020-10-07 18:39",hate,negative,5
15,"Candice Dickerson","617 Douglas Turnpike
East Rebeccashire, WI 48819",CD@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Apple,74,"2020-09-03 18:51",scared,negative,15
16,"Anthony Dunkerson","73298 Osborne Mountain
Tuckerfort, WV 57942",AD@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Huawei,56,"2021-02-24 5:09","super love",positive,75
17,"Benita Brady","473 Ronald Manor
East Olivia, ME 99898",BB@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Apple,66,"2020-09-23 6:24",peeking,neutral,35
18,"Shirley Peredo","526 Kimberly Center Suite 341
New Lisa, CO 12768",SP@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,HTC,60,"2021-02-24 11:37",indifferent,neutral,20
19,"Richard Smith","00358 Heather Gardens
Lake Heidiview, OH 42464",RS@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Motorola,88,"2021-05-22 19:44",interested,positive,30
21,"Oscar Gilman","2846 Jones Field
Leeberg, ME 29721",OG@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Motorola,67,"2020-11-20 17:26",peeking,neutral,35
22,"Jeffery Pedrick","9993 Marks Shoals
South Ronaldstad, NV 15604",JP@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Google,38,"2021-04-11 20:47",worried,negative,12
23,"Sarah Lococo","38904 Nguyen Lock Suite 118
Lake Robert, CA 25680",SL@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Huawei,74,"2021-06-13 16:46",like,positive,50
24,"Tara Cruz","5003 Potter Alley
Lake Meredith, NH 92634",TC@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Google,68,"2021-04-11 14:29",heart,positive,60
25,"Angela Ivie","668 Collins Drive
Aprilfort, ND 24342",AI@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Motorola,16,"2021-03-02 19:21",worried,negative,12
26,"Katherine Riffle","305 Gutierrez Forks
Mayborough, FL 20709",KR@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Motorola,88,"2020-06-27 18:44",hate,negative,5
27,"Jeanie Kirn","644 Emily Burgs
South Paulstad, TX 93774",JK@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Motorola,40,"2021-05-09 21:05",hate,negative,5
28,"Gilbert Faire","8905 Taylor Squares
Mahoneyview, OK 75053",GF@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,HTC,15,"2020-08-04 23:58",cherish,positive,70
29,"Benjamin Peltier","25502 Amy Square Apt. 092
Thompsonville, NM 47897",BP@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,HTC,27,"2020-08-28 3:57","super love",positive,75
31,"Jeffery Zerbe","41287 Miller Isle
Tylermouth, VT 38540",JZ@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Motorola,99,"2021-04-20 23:48",scared,negative,15
32,"Dwight Jefferson","70091 Davis Spurs
New Georgeborough, TX 29949",DJ@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Motorola,86,"2021-03-07 12:40",interested,positive,30
33,"Helen Tuttle","533 Joseph Isle Suite 449
Wardland, TX 97192",HT@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Motorola,26,"2021-05-24 3:21",indifferent,neutral,20
34,"Orlando Sapp","276 Abigail Club Suite 257
Rogershaven, TX 09776",OS@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Motorola,3,"2021-01-24 11:03","super love",positive,75
35,"Rebecca Swanner","663 Golden Loaf
Heidistad, CO 16965",RS@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Microsoft,3,"2021-04-09 2:46",disgust,negative,0
36,"Darlene Kovacs","783 Rios Stream
Bryantville, DE 43460",DK@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Motorola,45,"2021-02-02 3:43","super love",positive,75
37,"Edwin Raley","8817 Peters Mountain
Patrickberg, NH 71632",ER@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,HTC,69,"2021-02-04 3:06",interested,positive,30
38,"Daryl Owens","022 Allison Branch
South John, IA 33036",DO@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Microsoft,11,"2020-11-09 2:49",dislike,negative,10
39,"John Rancourt","140 Smith Forges
South Heatherbury, NC 69055",JR@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,Google,96,"2020-09-29 16:00",scared,negative,15
41,"Elisabeth Stewart","1480 Wong Bridge Suite 863
West Hunterburgh, MS 92171",ES@gmail.com,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,HTC,0,"2021-02-13 7:54",want,positive,70
